Type_Name	ASN1_Type	Parent_Type	Tag/ID	Field_Name	IE_Type	Criticality	Optional	Extensible	Min_Value	Max_Value
RICaction-ToBeSetup-Item	SEQUENCE	RICaction-ToBeSetup-Item		ricActionType	RICactionType					
RICaction-ToBeSetup-Item	SEQUENCE	RICaction-ToBeSetup-Item		ricSubsequentAction	RICsubsequentAction					
RICactionList-Item	SEQUENCE	RICactionList-Item		ricActionID	RICactionID					
RICactionLoad-Item	SEQUENCE	RICactionLoad-Item		ricActionID	RICactionID					
RICactionLoad-Item	SEQUENCE	RICactionLoad-Item		ricActionLoadInformation	RICloadInformation					
RICactionLoadConfirm-Item	SEQUENCE	RICactionLoadConfirm-Item		ricActionID	RICactionID					
RICactionLoadConfirm-Item	SEQUENCE	RICactionLoadConfirm-Item		ricActionLoadConfirm	RICloadConfirm					
RICactionLoadRequest-Item	SEQUENCE	RICactionLoadRequest-Item		ricActionID	RICactionID					
RICactionLoadRequest-Item	SEQUENCE	RICactionLoadRequest-Item		ricActionLoadRequest	RICloadRequest					
RICassistanceFailure	SEQUENCE	RICassistanceFailure		protocolIEs	ProtocolIE-Container					
RICassistanceHalt	SEQUENCE	RICassistanceHalt		protocolIEs	ProtocolIE-Container					
RICassistanceIndication	SEQUENCE	RICassistanceIndication		protocolIEs	ProtocolIE-Container					
RICassistanceRequest	SEQUENCE	RICassistanceRequest		protocolIEs	ProtocolIE-Container					
RICassistanceResponse	SEQUENCE	RICassistanceResponse		protocolIEs	ProtocolIE-Container					
RICcontrolAcknowledge	SEQUENCE	RICcontrolAcknowledge		protocolIEs	ProtocolIE-Container					
RICcontrolFailure	SEQUENCE	RICcontrolFailure		protocolIEs	ProtocolIE-Container					
RICcontrolRequest	SEQUENCE	RICcontrolRequest		protocolIEs	ProtocolIE-Container					
RICindication	SEQUENCE	RICindication		protocolIEs	ProtocolIE-Container					
RICloadInformation	SEQUENCE	RICloadInformation		loadStatus	ENUMERATED					
RICqueryFailure	SEQUENCE	RICqueryFailure		protocolIEs	ProtocolIE-Container					
RICqueryRequest	SEQUENCE	RICqueryRequest		protocolIEs	ProtocolIE-Container					
RICqueryResponse	SEQUENCE	RICqueryResponse		protocolIEs	ProtocolIE-Container					
RICrequestID	SEQUENCE	RICrequestID		ricInstanceID	INTEGER					
RICrequestID	SEQUENCE	RICrequestID		ricRequestorID	INTEGER					
RICserviceLoadConfirm	SEQUENCE	RICserviceLoadConfirm		ricServiceControlLoadConfirm	RICloadConfirm					
RICserviceLoadConfirm	SEQUENCE	RICserviceLoadConfirm		ricServiceInsertLoadConfirm	RICloadConfirm					
RICserviceLoadConfirm	SEQUENCE	RICserviceLoadConfirm		ricServicePolicyLoadConfirm	RICloadConfirm					
RICserviceLoadConfirm	SEQUENCE	RICserviceLoadConfirm		ricServiceQueryLoadConfirm	RICloadConfirm					
RICserviceLoadConfirm	SEQUENCE	RICserviceLoadConfirm		ricServiceReportLoadConfirm	RICloadConfirm					
RICserviceLoadInformation	SEQUENCE	RICserviceLoadInformation		ricServiceControlLoadInformation	RICloadInformation					
RICserviceLoadInformation	SEQUENCE	RICserviceLoadInformation		ricServiceInsertLoadInformation	RICloadInformation					
RICserviceLoadInformation	SEQUENCE	RICserviceLoadInformation		ricServicePolicyLoadInformation	RICloadInformation					
RICserviceLoadInformation	SEQUENCE	RICserviceLoadInformation		ricServiceQueryLoadInformation	RICloadInformation					
RICserviceLoadInformation	SEQUENCE	RICserviceLoadInformation		ricServiceReportLoadInformation	RICloadInformation					
RICserviceLoadRequest	SEQUENCE	RICserviceLoadRequest		ricServiceControlLoadRequest	RICloadRequest					
RICserviceLoadRequest	SEQUENCE	RICserviceLoadRequest		ricServiceInsertLoadRequest	RICloadRequest					
RICserviceLoadRequest	SEQUENCE	RICserviceLoadRequest		ricServicePolicyLoadRequest	RICloadRequest					
RICserviceLoadRequest	SEQUENCE	RICserviceLoadRequest		ricServiceQueryLoadRequest	RICloadRequest					
RICserviceLoadRequest	SEQUENCE	RICserviceLoadRequest		ricServiceReportLoadRequest	RICloadRequest					
RICserviceLoadStatusFailure	SEQUENCE	RICserviceLoadStatusFailure		protocolIEs	ProtocolIE-Container					
RICserviceLoadStatusRequest	SEQUENCE	RICserviceLoadStatusRequest		protocolIEs	ProtocolIE-Container					
RICserviceLoadStatusResponse	SEQUENCE	RICserviceLoadStatusResponse		protocolIEs	ProtocolIE-Container					
RICserviceLoadUpdate	SEQUENCE	RICserviceLoadUpdate		protocolIEs	ProtocolIE-Container					
RICserviceQuery	SEQUENCE	RICserviceQuery		protocolIEs	ProtocolIE-Container					
RICserviceUpdate	SEQUENCE	RICserviceUpdate		protocolIEs	ProtocolIE-Container					
RICserviceUpdateAcknowledge	SEQUENCE	RICserviceUpdateAcknowledge		protocolIEs	ProtocolIE-Container					
RICserviceUpdateFailure	SEQUENCE	RICserviceUpdateFailure		protocolIEs	ProtocolIE-Container					
RICsubscription-withCause-Item	SEQUENCE	RICsubscription-withCause-Item		cause	Cause					
RICsubscription-withCause-Item	SEQUENCE	RICsubscription-withCause-Item		ranFunctionID	RANfunctionID					
RICsubscription-withCause-Item	SEQUENCE	RICsubscription-withCause-Item		ricRequestID	RICrequestID					
RICsubscriptionAudit-Item	SEQUENCE	RICsubscriptionAudit-Item		ranFunctionID	RANfunctionID					
RICsubscriptionAudit-Item	SEQUENCE	RICsubscriptionAudit-Item		ricRequestID	RICrequestID					
RICsubscriptionAuditAction-Item	SEQUENCE	RICsubscriptionAuditAction-Item		ranFunctionID	RANfunctionID					
RICsubscriptionAuditAction-Item	SEQUENCE	RICsubscriptionAuditAction-Item		ricAction-Admitted-List	RICaction-Admitted-List					
RICsubscriptionAuditAction-Item	SEQUENCE	RICsubscriptionAuditAction-Item		ricRequestID	RICrequestID					
RICsubscriptionAuditFailure	SEQUENCE	RICsubscriptionAuditFailure		protocolIEs	ProtocolIE-Container					
RICsubscriptionAuditFlag	SEQUENCE	RICsubscriptionAuditFlag		listedRecordsOnly	ListedRecordsOnly					
RICsubscriptionAuditRequest	SEQUENCE	RICsubscriptionAuditRequest		protocolIEs	ProtocolIE-Container					
RICsubscriptionAuditResponse	SEQUENCE	RICsubscriptionAuditResponse		protocolIEs	ProtocolIE-Container					
RICsubscriptionDeleteFailure	SEQUENCE	RICsubscriptionDeleteFailure		protocolIEs	ProtocolIE-Container					
RICsubscriptionDeleteRequest	SEQUENCE	RICsubscriptionDeleteRequest		protocolIEs	ProtocolIE-Container					
RICsubscriptionDeleteRequired	SEQUENCE	RICsubscriptionDeleteRequired		protocolIEs	ProtocolIE-Container					
RICsubscriptionDeleteResponse	SEQUENCE	RICsubscriptionDeleteResponse		protocolIEs	ProtocolIE-Container					
RICsubscriptionDetails	SEQUENCE	RICsubscriptionDetails		ricAction-ToBeSetup-List	RICactions-ToBeSetup-List					
RICsubscriptionDetails	SEQUENCE	RICsubscriptionDetails		ricEventTriggerDefinition	RICeventTriggerDefinition					
RICsubscriptionFailure	SEQUENCE	RICsubscriptionFailure		protocolIEs	ProtocolIE-Container					
