Type_Name	ASN1_Type	Parent_Type	Tag/ID	Field_Name	IE_Type	Criticality	Optional	Extensible	Min_Value	Max_Value
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		ricSubscriptionModificationRequired	E2AP-ELEMENTARY-PROCEDURE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		INITIATING	MESSAGE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		SUCCESSFUL	OUTCOME					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		UNSUCCESSFUL	OUTCOME					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		PROCEDURE	CODE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		CRITICALITY	reject					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		ricSubscriptionStateControl	E2AP-ELEMENTARY-PROCEDURE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		INITIATING	MESSAGE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		SUCCESSFUL	OUTCOME					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		UNSUCCESSFUL	OUTCOME					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		PROCEDURE	CODE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		CRITICALITY	reject					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		ricQuery	E2AP-ELEMENTARY-PROCEDURE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		INITIATING	MESSAGE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		SUCCESSFUL	OUTCOME					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		UNSUCCESSFUL	OUTCOME					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		PROCEDURE	CODE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		CRITICALITY	reject					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		--	ASN1STOP					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		4	PDU					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		--	ASN1START					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		---	PDU					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		--	Derived					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		2025	by					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		53148	e2					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		DEFINITIONS	AUTOMATIC					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		---	IE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		FROM	E2AP-IEs					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		2025	by					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		FROM	E2AP-Containers					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		2025	by					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		2025	by					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		FROM	E2AP-Constants					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		---	MESSAGES					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		---	RIC					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		---	RIC					
RICsubscriptionRequest	SEQUENCE	RICsubscriptionRequest		protocolIEs	ProtocolIE-Container					
RICsubscriptionRequest	SEQUENCE	RICsubscriptionRequest		RICsubscriptionRequest-IEs	E2AP-PROTOCOL-IES					
RICsubscriptionRequest	SEQUENCE	RICsubscriptionRequest		ID	id-RICrequestID					
RICsubscriptionRequest	SEQUENCE	RICsubscriptionRequest		ID	id-RANfunctionID					
RICsubscriptionRequest	SEQUENCE	RICsubscriptionRequest		ID	id-RICsubscriptionDetails					
RICsubscriptionRequest	SEQUENCE	RICsubscriptionRequest		ID	id-RICsubscriptionStartTime					
RICsubscriptionRequest	SEQUENCE	RICsubscriptionRequest		ID	id-RICsubscriptionEndTime					
RICsubscriptionDetails	SEQUENCE	RICsubscriptionDetails		ricEventTriggerDefinition	RICeventTriggerDefinition					
RICsubscriptionDetails	SEQUENCE	RICsubscriptionDetails		ricAction-ToBeSetup-List	RICactions-ToBeSetup-List					
RICactions-ToBeSetup-List	SEQUENCE	RICactions-ToBeSetup-List		OF	ProtocolIE-SingleContainer				1	
RICactions-ToBeSetup-List	SEQUENCE	RICactions-ToBeSetup-List		RICaction-ToBeSetup-ItemIEs	E2AP-PROTOCOL-IES				1	
RICactions-ToBeSetup-List	SEQUENCE	RICactions-ToBeSetup-List		ID	id-RICaction-ToBeSetup-Item				1	
RICaction-ToBeSetup-Item	SEQUENCE	RICaction-ToBeSetup-Item		ricActionID	RICactionID					
RICaction-ToBeSetup-Item	SEQUENCE	RICaction-ToBeSetup-Item		ricActionType	RICactionType					
RICaction-ToBeSetup-Item	SEQUENCE	RICaction-ToBeSetup-Item		ricActionDefinition	RICactionDefinition		YES			
RICaction-ToBeSetup-Item	SEQUENCE	RICaction-ToBeSetup-Item		ricSubsequentAction	RICsubsequentAction		YES			
RICaction-ToBeSetup-Item	SEQUENCE	RICaction-ToBeSetup-Item		ricActionExecutionOrder	RICactionExecutionOrder		YES			
RICaction-ToBeSetup-Item	SEQUENCE	RICaction-ToBeSetup-Item		---	RIC					
RICaction-ToBeSetup-Item	SEQUENCE	RICaction-ToBeSetup-Item		2025	by					
RICsubscriptionResponse	SEQUENCE	RICsubscriptionResponse		protocolIEs	ProtocolIE-Container					
RICsubscriptionResponse	SEQUENCE	RICsubscriptionResponse		RICsubscriptionResponse-IEs	E2AP-PROTOCOL-IES					
RICsubscriptionResponse	SEQUENCE	RICsubscriptionResponse		ID	id-RICrequestID					
RICsubscriptionResponse	SEQUENCE	RICsubscriptionResponse		ID	id-RANfunctionID					
RICsubscriptionResponse	SEQUENCE	RICsubscriptionResponse		ID	id-RICactions-Admitted					
RICsubscriptionResponse	SEQUENCE	RICsubscriptionResponse		ID	id-RICactions-NotAdmitted					
RICaction-Admitted-List	SEQUENCE	RICaction-Admitted-List		OF	ProtocolIE-SingleContainer				1	
RICaction-Admitted-List	SEQUENCE	RICaction-Admitted-List		RICaction-Admitted-ItemIEs	E2AP-PROTOCOL-IES				1	
RICaction-Admitted-List	SEQUENCE	RICaction-Admitted-List		ID	id-RICaction-Admitted-Item				1	
RICaction-Admitted-Item	SEQUENCE	RICaction-Admitted-Item		ricActionID	RICactionID					
RICaction-NotAdmitted-List	SEQUENCE	RICaction-NotAdmitted-List		OF	ProtocolIE-SingleContainer				1	
RICaction-NotAdmitted-List	SEQUENCE	RICaction-NotAdmitted-List		RICaction-NotAdmitted-ItemIEs	E2AP-PROTOCOL-IES				1	
RICaction-NotAdmitted-List	SEQUENCE	RICaction-NotAdmitted-List		ID	id-RICaction-NotAdmitted-Item				1	
RICaction-NotAdmitted-Item	SEQUENCE	RICaction-NotAdmitted-Item		ricActionID	RICactionID					
RICaction-NotAdmitted-Item	SEQUENCE	RICaction-NotAdmitted-Item		cause	Cause					
RICaction-NotAdmitted-Item	SEQUENCE	RICaction-NotAdmitted-Item		---	RIC					
RICsubscriptionFailure	SEQUENCE	RICsubscriptionFailure		protocolIEs	ProtocolIE-Container					
RICsubscriptionFailure	SEQUENCE	RICsubscriptionFailure		RICsubscriptionFailure-IEs	E2AP-PROTOCOL-IES					
RICsubscriptionFailure	SEQUENCE	RICsubscriptionFailure		ID	id-RICrequestID					
RICsubscriptionFailure	SEQUENCE	RICsubscriptionFailure		ID	id-RANfunctionID					
